ID,ランダムなアイテム名,アイコンID,
1000001,錆びた包丁,item_1001,
1000002,スイカバー,item_1002,
1000003,ナイフ,item_1003,
1000004,田中の刀,item_1004,
1000005,大根ブレード,item_1005,
1000006,ピカピカセイバー,item_1006,
2000001,UNI〇L〇パーカー,item_2001,
2000002,お気に入りのパジャマ,item_2002,
2000003,赤いローブ,item_2003,
2000004,水色のローブ,item_2004,
2000005,トゲトゲの鎧,item_2005,
2000006,セクシーな服,item_2006,
4000001,緑色の草,item_4001,
4000002,赤色の草,item_4001,
4000003,青色の草,item_4001,
4000004,橙色の草,item_4001,
4000005,紫色の草,item_4001,
4000006,緋色の草,item_4001,
4000007,水色の草,item_4001,
4000008,黄色の草,item_4001,
4000009,桃色の草,item_4001,
4000010,白色の草,item_4001,
4000011,灰色の草,item_4001,
5000001,小さいケーキ,item_5000,
5000002,ケーキ,item_5000,
5000003,大きいケーキ,item_5000,
5000004,固めのケーキ,item_5000,
5000005,腐ったケーキ,item_5000,
5000006,破滅のケーキ,item_5000,
